297,Whisky Bar
298,Wine Bar
299,Winery
300,Wings Joint
301,Zoo
302,Zoo or Aquarium
303,graphic design
304,Accessories Store
305,Airport Food Court
306,Airport Gate
307,Airport Lounge
308,Airport Rental Car Spot
309,Airport Terminal
310,Airport Tram
311,Apres Ski Bar
312,Art Museum
313,Auditorium
314,Baseball Field
315,Baseball Stadium
316,Basketball Court
317,Basketball Stadium
318,Bed & Breakfast
319,Boat or Ferry
320,Boutique
321,Bus Line
322,Butcher
323,Cafeteria
324,Capitol Building
325,Cheese Shop
326,Church
327,City Hall
328,College Arts Building
329,College Basketball Court
330,College Communications Building
331,College Cricket Pitch
332,College Engineering Building
333,College Football Field
334,College History Building
335,College Math Building
336,College Science Building
337,College Soccer Field
338,College Technology Building
339,College Track
340,Concert Hall
341,Conference Room
342,Courthouse
343,Coworking Space
344,Dance Studio
345,Deli or Bodega
346,Dentist's Office
347,Doctor's Office
348,Elementary School
349,Emergency Room
350,Farmers Market
351,Fire Station
352,Fish Market
353,Food Court
354,Football Stadium
355,Golf Course
356,Gourmet Shop
357,Grocery Store
358,Grocery or Supermarket
359,Gym
360,Gym Pool
361,High School
362,History Museum
363,Hockey Arena
364,Hospital
365,Hostel
366,Hotel Bar
367,Indie Movie Theater
368,Indie Theater
369,Indie or Off Broadway Theater
370,Jazz Club
371,Kids Store
372,Lingerie Store
373,Liquor Store
374,Martial Arts Dojo
375,Meeting Room
376,Men's Store
377,Middle School
378,Monument or Landmark
379,Mosque
380,Motel
381,Multiplex
382,Opera House
383,Optical Shop
384,Paella Restaurant
385,Piano Bar
386,Pier
387,Plane
388,Planetarium
389,Platform
390,Police Station
391,Pool
392,Resort
393,Rock Club
394,Roof Deck
395,Science Museum
396,Shoe Store
397,Shrine
398,Skate Park
399,Skating Rink
400,Ski Chalet
401,Ski Lodge
402,Soccer Field
403,Soccer Stadium
404,Surf Spot
405,Synagogue
406,Tech Startup
407,Temple
408,Tenni
409,Tennis Court
410,Theater
411,Track
412,Track Stadium
413,Train
414,Veterinarian
415,Wine Shop
416,Women's Store
417,Yoga Studio
